Meal Name,calories,proteins,carbohydrates,fat,fiber,sugar,sodium
Tofu Stir Fry,710,26.71,94.7,17.08,4.97,49.35,1593.92
Chia Pudding,346,27.19,20.6,32.08,13.81,7.03,1191.72
Tomato Soup,347,8.75,38.03,17.7,2.01,12.33,1176.49
Bagel with Cream Cheese,688,9.13,49.23,35.14,9.23,3.53,842.98
Chicken and Rice,750,32.11,59.02,12.68,11.84,32.36,1052.19
Grilled Chicken Salad,537,29.92,88.07,39.11,5.36,12.01,854.64
Pasta Primavera,672,14.57,27.03,32.29,4.51,9.82,1125.49
Beef Stew,350,47.58,84.47,9,3.09,5.34,1293.11
Veggie Stir Fry,614,40.16,24.45,24.8,6.24,6.06,1381.18
Veggie Stir Fry,497,10.11,87.39,39.49,9.28,29.65,1111.71
Shrimp Scampi,462,46.89,24.13,21.49,3.51,34.72,1470.7
Veggie Wrap,343,48.84,21.46,11.37,6.9,20.47,368.43
Beef Stew,545,49.82,75.76,21.97,2.12,24.51,502.77
Roast Chicken with Veggies,771,7.51,99.78,22.94,12.64,34.61,1655.6
Turkey Sandwich,201,38.17,91.73,30.96,3.67,1.85,712.8
Oatmeal with Berries,503,29.57,66.08,29.46,5.68,16.83,143.5
Breakfast Burrito,453,36.76,93.39,19.09,2.24,48.68,392.2
Breakfast Burrito,652,48.59,20.42,12.63,7.62,29.43,524.87
Lamb Chops,236,35.96,98.01,27.58,12.92,13.46,1918.91
Shrimp Scampi,359,42.66,59.26,19.76,7.1,26.56,1188.78
Caesar Salad,208,44.01,77.83,9.63,4.33,17.79,1872.19
Beef Stew,432,42.73,85.67,36.52,11.8,27.08,1192.81
Fruit Salad,298,24.17,77.48,29.19,12.25,7.16,1010.77
Smoothie Bowl,407,15.02,62.8,28.91,4.26,7.5,696.08
Grilled Salmon,330,22.85,58.13,33.79,12.02,8.03,1252.1
Greek Yogurt with Honey,603,45.14,87.09,23.54,14.31,47.05,364.48
Fruit Salad,351,11.6,36.41,33.53,4.16,36.91,1806.7
Avocado Toast,253,28.1,97.44,22.43,12.02,8.96,1675.73
Avocado Toast,319,15.5,76.88,7.35,11.21,10.23,703.31
Breakfast Burrito,786,31.16,35.96,19.18,8.16,36.81,1910.32
Quinoa Bowl,619,43.84,78.9,22.41,2.75,8.65,1667.88
Scrambled Eggs and Toast,621,44.62,62.39,30.21,2.97,12.49,1365.98
